id,,,W-L%,SRS,SOS,Conf WL,Home WL,Away WL,Points del,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1153,56,Cincinnati NCAA,0.882,20.87,3.54,-0.5,0.875,0.636363636,0.996615905,0.951048951,0.846445498,0.839148936,0.453,0.6342711,0.53297546,0.357,0.803225806,0.835253456,0.687,0.902439024,0.889710827,0.851097179,0.714697406,0.773662551,0.738140417,0.715240642
1154,57,Citadel,0.344,-13.51,-2.82,0.25,-0.0625,-0.818181818,-0.304568528,0.902097902,0.842654028,0.914042553,0.414,0.987212276,0.868865031,0.341,0.766129032,0.775345622,0.706,0.760162602,0.795561533,0.827586207,0.867435159,0.407407407,0.90512334,0.78342246
1155,58,Clemson NCAA,0.719,16.51,9.04,-0.375,0.875,-0.181818182,0.404399323,0.902097902,0.766824645,0.76,0.453,0.680306905,0.556748466,0.366,0.743548387,0.701612903,0.757,0.581300813,0.76395427,0.661442006,0.524495677,0.637860082,0.734345351,0.684491979
1156,59,Cleveland State,0.343,-10.77,-3.59,-0.125,0,-1.181818182,-0.357021997,0.986013986,0.808530806,0.835319149,0.435,0.751918159,0.661809816,0.341,0.648387097,0.658986175,0.703,0.548780488,0.714862139,0.714733542,0.665706052,0.37037037,0.869070209,0.795454545
1157,60,Coastal Carolina,0.438,-3.63,-2.11,0.375,-0.125,-0.181818182,0.096446701,0.902097902,0.745971564,0.771489362,0.434,0.557544757,0.506134969,0.33,0.816129032,0.80875576,0.721,0.788617886,0.835911231,0.655172414,0.492795389,0.477366255,0.908918406,0.812834225
1159,61,Colgate,0.594,-4.88,-5.91,0.625,0.625,-0.363636364,0.140439932,0.895104895,0.766824645,0.78,0.441,0.764705882,0.634202454,0.362,0.659677419,0.612903226,0.769,0.583333333,0.704774714,0.648902821,0.564841499,0.436213992,0.667931689,0.692513369
1158,62,College of Charleston NCAA,0.788,1.62,-3.8,-0.625,0.875,0.090909091,0.353637902,0.940559441,0.807582938,0.78893617,0.46,0.649616368,0.536042945,0.363,0.838709677,0.789170507,0.759,0.569105691,0.732347007,0.590909091,0.492795389,0.489711934,0.60341556,0.721925134
1161,63,Colorado State,0.344,-3.57,4.08,-0.125,0,-0.636363636,-0.377326565,0.905594406,0.768720379,0.825957447,0.418,0.57544757,0.524539877,0.329,0.753225806,0.75,0.717,0.762195122,0.806993948,0.641065831,0.547550432,0.419753086,0.808349146,0.834224599
1160,64,Colorado,0.531,6.55,7.49,-0.25,0.5625,-0.818181818,-0.050761421,0.905594406,0.767772512,0.782978723,0.44,0.616368286,0.516104294,0.358,0.719354839,0.705069124,0.729,0.658536585,0.805648958,0.641065831,0.403458213,0.502057613,0.855787476,0.827540107
1162,65,Columbia,0.296,-5.56,-2.94,-0.25,0.125,-1.181818182,-0.03891709,0.762237762,0.707109005,0.717446809,0.442,0.68797954,0.562116564,0.367,0.485483871,0.468894009,0.74,0.56300813,0.646940148,0.601880878,0.510086455,0.382716049,0.641366224,0.673796791
1163,66,Connecticut,0.438,1.48,6.45,-0.375,0.375,-0.636363636,-0.269035533,0.909090909,0.722274882,0.779574468,0.416,0.549872123,0.505368098,0.326,0.712903226,0.683179724,0.745,0.658536585,0.737054472,0.523510972,0.547550432,0.489711934,0.764705882,0.79144385
1164,67,Coppin State,0.156,-20.77,-7.05,-0.125,-0.125,-1.727272727,-0.742808799,0.912587413,0.622748815,0.776595745,0.36,0.677749361,0.667177914,0.305,0.590322581,0.570276498,0.739,0.554878049,0.727639543,0.529780564,0.495677233,0.33744856,0.876660342,0.867647059
1165,68,Cornell,0.429,-8.66,-3.11,0.125,0.25,-0.636363636,-0.21319797,0.804195804,0.70521327,0.686382979,0.461,0.554987212,0.490030675,0.34,0.675806452,0.661290323,0.73,0.471544715,0.646267653,0.703761755,0.414985591,0.399176955,0.713472486,0.665775401
1166,69,Creighton NCAA,0.656,16.89,8.05,-0.5,0.875,-0.272727273,0.544839255,0.902097902,0.933649289,0.843404255,0.497,0.854219949,0.681748466,0.376,0.633870968,0.605990783,0.747,0.471544715,0.780766644,0.902821317,0.521613833,0.349794239,0.679316888,0.64171123
1171,70,Dartmouth,0.259,-10.16,-3.85,0.5,0,-1.181818182,-0.218274112,0.758741259,0.617061611,0.618723404,0.448,0.511508951,0.427147239,0.359,0.546774194,0.547235023,0.714,0.422764228,0.570948218,0.559561129,0.438040346,0.358024691,0.69259962,0.562834225
1172,71,Davidson NCAA,0.656,11.24,2.37,-0.125,0.625,-0.181818182,0.480541455,0.905594406,0.829383886,0.771489362,0.483,0.874680307,0.670245399,0.391,0.570967742,0.511520737,0.797,0.443089431,0.706119704,0.844827586,0.44092219,0.259259259,0.580645161,0.643048128
1173,72,Dayton,0.452,1.85,2.91,-0.75,0.5,-0.818181818,-0.055837563,0.881118881,0.762085308,0.71106383,0.481,0.6342711,0.564417178,0.337,0.625806452,0.611751152,0.731,0.487804878,0.648957633,0.764890282,0.46685879,0.320987654,0.806451613,0.681818182
1174,73,Delaware State,0.125,-24.45,-9.19,-0.375,-0.3125,-1.636363636,-0.717428088,0.909090909,0.703317536,0.75787234,0.417,0.491048593,0.453220859,0.325,0.577419355,0.594470046,0.694,0.68495935,0.716879623,0.545454545,0.544668588,0.341563786,0.927893738,0.748663102
1175,74,Delaware,0.424,-6.86,-2.89,0.125,-0.0625,-0.545454545,-0.152284264,0.93006993,0.814218009,0.8,0.457,0.491048593,0.447852761,0.329,0.690322581,0.756912442,0.651,0.638211382,0.7733692,0.605015674,0.472622478,0.308641975,0.671726755,0.740641711
1176,75,Denver,0.5,-4.87,-2.19,-0.625,0.375,-0.545454545,0.005076142,0.853146853,0.761137441,0.723404255,0.472,0.539641944,0.404141104,0.4,0.60483871,0.622119816,0.694,0.632113821,0.745124412,0.70846395,0.371757925,0.296296296,0.855787476,0.75
1177,76,DePaul,0.355,6.64,8.55,-0.625,-0.25,-0.272727273,-0.099830795,0.870629371,0.776303318,0.813617021,0.428,0.496163683,0.48006135,0.31,0.641935484,0.647465438,0.708,0.778455285,0.780094149,0.728840125,0.576368876,0.386831276,0.815939279,0.739304813
1178,77,Detroit Mercy,0.25,-12.45,-2.05,0.125,-0.375,-0.818181818,-0.384094755,0.898601399,0.836966825,0.864255319,0.435,0.718670077,0.625,0.345,0.756451613,0.715437788,0.755,0.678861789,0.749159381,0.684952978,0.610951009,0.362139918,0.825426945,0.86631016
1179,78,Drake,0.515,-0.27,0.57,-0.375,0.4375,-0.545454545,0.033840948,0.944055944,0.793364929,0.814042553,0.438,0.726342711,0.595858896,0.366,0.767741935,0.708525346,0.774,0.536585366,0.749831876,0.772727273,0.573487032,0.345679012,0.75142315,0.680481283
1180,79,Drexel,0.394,-7.09,-2.37,0.5,0.25,-0.818181818,-0.231810491,0.937062937,0.834123223,0.848510638,0.441,0.58056266,0.536042945,0.325,0.753225806,0.744239631,0.723,0.75,0.804976463,0.595611285,0.507204611,0.567901235,0.776091082,0.779411765
1181,80,Duke NCAA,0.788,25,9.91,-0.25,0.875,0.090909091,0.842639594,0.926573427,0.955450237,0.869787234,0.493,0.700767263,0.555981595,0.378,0.814516129,0.821428571,0.708,0.908536585,0.927370545,0.905956113,0.714697406,0.728395062,0.789373814,0.688502674
1182,81,Duquesne,0.5,-0.85,-3.1,-0.625,0.4375,-0.454545455,0.121827411,0.916083916,0.759241706,0.797446809,0.427,0.667519182,0.571319018,0.35,0.732258065,0.763824885,0.685,0.786585366,0.772696705,0.598746082,0.536023055,0.576131687,0.726755218,0.799465241
1187,82,East Carolina,0.333,-8.45,0.05,0.625,-0.1875,-0.545454545,-0.431472081,0.84965035,0.702369668,0.733191489,0.43,0.465473146,0.457822086,0.305,0.530645161,0.569124424,0.666,0.593495935,0.682582381,0.60815047,0.426512968,0.382716049,0.817836812,0.70855615
1190,83,East Tennessee State,0.735,3.95,-3.86,-0.25,0.5,0.636363636,0.532994924,0.951048951,0.877725118,0.832765957,0.473,0.624040921,0.545245399,0.343,0.741935484,0.746543779,0.71,0.715447154,0.85070612,0.78369906,0.763688761,0.600823045,0.861480076,0.819518717
1183,84,Eastern Illinois,0.387,-8.17,-3.24,-0.5,0.0625,-0.727272727,-0.093062606,0.870629371,0.693838863,0.734468085,0.424,0.572890026,0.480828221,0.357,0.608064516,0.634792627,0.684,0.672764228,0.715534633,0.614420063,0.524495677,0.567901235,0.791271347,0.680481283
1184,85,Eastern Kentucky,0.355,-10.46,-3.56,0.25,-0.0625,-0.636363636,-0.23857868,0.870629371,0.737440758,0.757021277,0.437,0.578005115,0.489263804,0.354,0.722580645,0.69124424,0.747,0.589430894,0.68796234,0.634796238,0.556195965,0.465020576,0.760910816,0.72459893
