id,,,G,W,L,W-L%,SRS,SOS,Conf WL,Home WL,Away WL,Points del,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1401,305,Texas A&M NCAA,32,20,12,0.625,15.72,10.53,0,10,-3,166,1280,887,1942,0.457,211,645,0.327,415,622,0.667,402,1323,495,180,188,434,536
1426,306,Texas-Arlington,34,21,13,0.618,2.44,-1.2,2,11,-6,140,1365,927,2054,0.451,294,818,0.359,492,713,0.69,375,1333,545,229,143,507,617
1395,307,Texas Christian NCAA,32,21,11,0.656,17.03,9.97,0,12,-4,226,1305,960,1925,0.499,271,677,0.4,465,657,0.708,357,1166,601,211,115,406,537
,308,Texas-El Paso,31,11,20,0.355,-5.56,-0.46,-6,1,-6,-103,1240,754,1736,0.434,224,667,0.336,362,541,0.669,216,1035,328,129,89,381,576
1410,309,Texas-Rio Grande Valley,32,15,17,0.469,-7.35,-2.42,-2,2,-3,-91,1290,807,2004,0.403,198,645,0.307,604,818,0.738,370,1200,482,245,107,431,702
1427,310,Texas-San Antonio,33,19,14,0.576,-1.31,-0.98,4,8,-2,112,1325,920,2110,0.436,335,926,0.362,420,613,0.685,364,1326,463,208,89,417,666
1411,311,Texas Southern NCAA,34,15,19,0.441,-7.92,-5.83,6,6,-12,-71,1370,878,1989,0.441,266,732,0.363,618,860,0.719,350,1229,417,190,133,428,599
1402,312,Texas State,33,15,18,0.455,-5.54,-3.15,-4,0,-3,18,1330,773,1782,0.434,214,648,0.33,430,651,0.661,363,1144,448,179,92,442,543
1403,313,Texas Tech NCAA,33,24,9,0.727,19.57,9.03,4,16,-2,348,1330,863,1859,0.464,232,634,0.366,525,749,0.701,361,1182,447,245,134,412,599
1400,314,Texas NCAA,33,19,14,0.576,14.44,10.92,-2,9,-4,116,1365,851,1943,0.438,234,742,0.315,431,645,0.668,349,1175,381,205,163,390,531
1405,315,Toledo,34,23,11,0.676,2.73,-1.66,8,8,3,155,1360,913,1953,0.467,327,815,0.401,534,725,0.737,319,1253,528,127,135,395,541
1406,316,Towson,32,18,14,0.563,-0.14,-3.14,-2,6,-5,167,1300,889,1905,0.467,210,582,0.361,458,667,0.687,398,1219,381,209,139,405,633
1407,317,Troy,33,16,17,0.485,-1.28,-1.89,0,6,-6,67,1330,848,1930,0.439,292,866,0.337,487,662,0.736,319,1194,435,165,124,408,570
1408,318,Tulane,31,14,17,0.452,1.57,2.44,-8,2,-5,-27,1250,800,1779,0.45,232,663,0.35,437,613,0.713,294,1068,483,155,126,409,557
1409,319,Tulsa,31,19,12,0.613,5.33,2.75,6,11,-3,80,1255,754,1731,0.436,247,711,0.347,522,720,0.725,346,1177,391,140,68,398,495
1417,320,UCLA NCAA,32,21,11,0.656,12.86,7.27,4,12,-4,179,1310,906,1964,0.461,300,783,0.383,509,705,0.722,330,1242,482,183,125,379,574
1429,321,Utah State,34,17,17,0.5,2.59,2.92,-2,7,-10,23,1365,865,1904,0.454,317,870,0.364,442,627,0.705,290,1132,473,170,68,441,617
1430,322,Utah Valley,32,22,10,0.688,5.18,-1.54,6,14,-2,330,1285,869,1806,0.481,252,658,0.383,507,688,0.737,338,1216,517,192,131,446,530
1428,323,Utah,30,19,11,0.633,11.02,6.25,4,10,-1,143,1205,748,1639,0.456,274,748,0.366,435,572,0.76,234,1011,463,158,106,360,503
1434,324,Valparaiso,32,15,17,0.469,0.71,1.01,-6,4,-9,70,1280,781,1741,0.449,213,624,0.341,477,674,0.708,294,1115,399,235,105,469,678
1435,325,Vanderbilt,32,12,20,0.375,8.92,10.54,-6,4,-9,-52,1290,775,1775,0.437,289,819,0.353,477,642,0.743,311,1080,392,154,108,379,632
1436,326,Vermont,34,27,7,0.794,5.51,-3.62,14,10,8,337,1360,852,1747,0.488,258,638,0.404,561,745,0.753,264,1138,452,130,89,378,514
1437,327,Villanova NCAA,34,30,4,0.882,25.69,9.51,10,11,6,550,1375,1055,2092,0.504,388,975,0.398,462,599,0.771,319,1208,567,227,135,352,539
1433,328,Virginia Commonwealth,33,18,15,0.545,3.76,2.64,0,4,0,37,1335,921,2013,0.458,274,778,0.352,391,566,0.691,342,1203,510,210,93,446,561
1440,329,VMI,30,9,21,0.3,-15.21,-4.03,-10,-2,-9,-260,1200,688,1729,0.398,225,704,0.32,353,477,0.74,283,1028,355,221,87,442,539
1439,330,Virginia Tech NCAA,32,21,11,0.656,14.88,6.91,2,10,1,255,1295,901,1811,0.498,280,727,0.385,469,661,0.71,236,1056,528,184,73,381,502
1438,331,Virginia NCAA,33,31,2,0.939,23.84,9.69,16,15,9,467,1325,825,1788,0.461,243,623,0.39,336,443,0.758,277,1077,453,224,123,283,464
1447,332,Wagner,32,23,9,0.719,-2.69,-7.22,10,15,-1,213,1285,818,1891,0.433,263,739,0.356,490,690,0.71,426,1251,431,211,128,438,710
1448,333,Wake Forest,31,11,20,0.355,8.02,9.05,-10,-2,-5,-32,1240,801,1826,0.439,241,644,0.374,430,583,0.738,337,1108,432,181,109,407,604
1450,334,Washington State,31,12,19,0.387,1.02,5.57,-10,0,-9,-141,1250,801,1795,0.446,341,905,0.377,327,444,0.736,258,1009,450,163,71,421,532
1449,335,Washington,32,20,12,0.625,7.86,6.15,2,11,-1,55,1295,841,1848,0.455,213,624,0.341,482,685,0.704,313,1059,371,255,162,428,600
1451,336,Weber State,31,20,11,0.645,0.24,-2.65,8,9,3,239,1255,846,1723,0.491,280,673,0.416,462,602,0.767,182,1040,430,161,120,368,551
1452,337,West Virginia NCAA,34,24,10,0.706,20.17,9.55,4,11,0,361,1365,944,2176,0.434,299,847,0.353,520,679,0.766,476,1289,512,273,179,385,725
